dataset,model_name,n_seeds,params_mean,acc_mean,train_seconds_per_epoch_mean,train_total_seconds_mean,inference_ms_per_1000_samples_mean,timing_condition
fashionmnist,dann_lrf,3,10634.0,0.8517,5.92592307709856,59.2592307709856,67.38785774447024,timing_fashion_full
fashionmnist,mlp_param,3,10527.0,0.8409666666666666,4.042578593400928,40.42578593400928,49.814155757582434,timing_fashion_full
fashionmnist,naive_branch,3,10634.0,0.8457666666666667,5.7560373614969045,57.560373614969045,66.70554707835738,timing_fashion_full
fashionmnist,vann_same,3,468874.0,0.8808666666666666,6.547576160600875,65.47576160600875,59.833182846196,timing_fashion_full
cifar10,dann_lrf,3,10634.0,0.4371666666666667,5.2803821302019065,52.80382130201906,70.2147323397609,timing_cifar_full
cifar10,mlp_param,3,9271.0,0.2860999999999999,3.89133009116631,38.9133009116631,61.86437464552,timing_cifar_full
cifar10,naive_branch,3,10634.0,0.4281999999999999,5.095400028163567,50.95400028163567,67.96108856797218,timing_cifar_full
cifar10,vann_same,3,1640330.0,0.4936333333333333,8.040979374269954,80.40979374269955,85.13014924091597,timing_cifar_full
